date,rank,username,viewer_count
2021-01-05,4,NICKMERCS,29049
2021-01-05,5,TSM_ImperialHal,25786
2021-01-05,6,Philza,21431
2021-01-05,7,NiceWigg,20851
2021-01-05,8,zackrawrr,20140
2021-01-05,9,Emiru,19998
2021-01-05,10,VALORANT_Americas,19729
2021-01-05,11,playapex,18288
2021-01-05,12,Jynxzi,13810
2021-01-05,13,PENTA,13310
2021-01-05,14,MOONMOON,13116
2021-01-05,15,CDawgVA,12017
2021-01-05,16,Clix,12185
2021-01-05,17,summit1g,11875
2021-01-05,18,shroud,11280
2021-01-05,19,Foolish_Gamers,11819
2021-01-05,20,Flight23white,9402
2021-01-05,21,LVNDMARK,9139
2021-01-05,22,Grubby,7028
2021-01-05,23,Shotzzy,7023
2021-01-05,24,Agent00,5959
2021-01-05,25,Tectone,5725
2021-01-05,26,AMOURANTH,5716
2021-01-05,27,watchmeblink,5377
2021-01-05,28,koil,5152
2021-01-05,29,The_Happy_Hob,5214
2021-01-05,30,BrawlStars,5106
2021-01-05,31,Dkayed,4911
2021-01-05,32,GothamChess,4621
2021-01-05,33,vedal987,4535
2021-01-05,34,TeamfightTactics,4596
2021-01-05,35,fl0m,4114
2021-01-05,36,A_Seagull,4072
2021-01-05,37,erobb221,4024
2021-01-05,38,Cohh,4003
2021-01-05,39,alpharad,4024
2021-01-05,40,Mathil1,3862
2021-01-05,41,HisWattson,3848
2021-01-05,42,LVTHalo,3839
2021-01-05,43,HusKerrs,3832
2021-01-05,44,reneesrealm,3636
2021-01-05,45,Ray,3547
2021-01-05,46,zwebackhd,3531
2021-01-05,47,iateyourpie,3457
2021-01-05,48,RaiseYourEdge,3442
2021-01-05,49,AmazonMusic,3426
2021-01-05,50,Pieface23,2979
2021-01-05,51,setsukotft,3269
2021-01-05,52,Bawkbasoup,3098
2021-01-05,53,solarbacca,2992
2021-01-05,54,RealzBlueWater,2888
2021-01-05,55,CoconutB,2858
2021-01-05,56,itsBenAndKaren,2924
2021-01-05,57,SypherPK,2778
2021-01-05,58,RetalsRL,2693
2021-01-05,59,KYR_SP33DY,2668
2021-01-05,60,Beaulo,2608
2021-01-05,61,Atrioc,2596
2021-01-05,62,BadBoyHalo,2587
2021-01-05,63,Lacari,2518
2021-01-05,64,buckefps,2505
